provider\_name,send\_currency,receive\_currency,exchange\_rate,normal\_range,deviation\_from\_median
Remitly,PLN,GHS,30591.00000,2.9136 – 3.1918,"+1,001,996.5%"
Remitly,PLN,MXN,47887.00000,4.6333 – 4.9392,"+1,000,411.9%"
Remitly,EUR,GHS,130090.00000,12.8305 – 13.2491,"+997,538.0%"
Remitly,EUR,PKR,33442.00000,311.3050 – 338.9628,"+10,185.6%"
Remitly,EUR,KES,15259.00000,143.0889 – 155.4001,"+10,124.2%"
Remitly,PLN,NGN,38121.00000,346.5502 – 403.2698,"+10,068.0%"
Remitly,EUR,INR,11172.00000,106.8637 – 113.3299,"+10,047.4%"
Remitly,PLN,PKR,7675.00000,73.1971 – 78.4239,"+10,023.9%"
Remitly,EUR,MXN,2045.00000,19.4355 – 21.1120,"+9,986.9%"
Remitly,EUR,PHP,7175.00000,70.0340 – 73.0922,"+9,926.1%"
Remitly,PLN,PHP,1700.00000,15.5944 – 18.3685,"+9,910.9%"
Remitly,PLN,INR,2599.00000,24.9338 – 26.9896,"+9,910.9%"
Remitly,PLN,KES,3542.00000,32.3036 – 38.4621,"+9,910.5%"
Ria,EUR,PHP,1614.68793,70.0340 – 73.0922,"+2,156.3%"
Ria,GBP,PHP,1863.59585,79.9840 – 85.6288,"+2,150.5%"
Ria,PLN,PHP,380.04770,15.5944 – 18.3685,"+2,138.0%"
Ria,CAD,PHP,1007.28418,43.7178 – 46.7222,"+2,127.5%"
Ria,AUD,PHP,990.28330,42.6299 – 46.3136,"+2,126.8%"
Ria,USD,PHP,1361.66792,59.0178 – 63.9822,"+2,114.1%"
Ria,AUD,MXN,93.00212,11.8873 – 12.8127,+653.1%
Ria,GBP,MXN,174.60862,22.4757 – 24.0843,+650.0%
Ria,EUR,MXN,151.28732,19.4355 – 21.1120,+646.2%
Ria,CAD,MXN,94.37695,11.8960 – 13.4240,+645.5%
Ria,PLN,MXN,35.60837,4.6333 – 4.9392,+644.0%
Ria,USD,MXN,129.10924,16.8211 – 18.4529,+632.0%
Ria,PLN,GHS,15.04826,2.9136 – 3.1918,+392.9%
Taptap Send,AED,PKR,281.50000,74.7754 – 78.0595,+268.4%
Taptap Send,AED,KES,128.80000,34.7730 – 35.4390,+266.9%
Taptap Send,AED,INR,94.75000,25.6030 – 26.1280,+266.3%
Taptap Send,AED,PHP,61.50000,16.6020 – 17.0406,+265.6%
Taptap Send,AED,MXN,17.30000,4.3664 – 5.1073,+265.2%
Taptap Send,AED,NGN,1370.00000,353.2884 – 399.5576,+264.0%
Remitly,EUR,NGN,1.62937,1552.9165 – 1654.1575,−99.9%
TransferGo,EUR,INR,0.23509,106.8637 – 113.3299,−99.8%
Taptap Send,AED,GHS,0.01730,2.9687 – 3.0800,−99.4%
Ria,USD,NGN,17.37957,1340.5055 – 1401.6245,−98.7%
Ria,EUR,NGN,20.37361,1552.9165 – 1654.1575,−98.7%
Ria,CAD,NGN,12.75755,954.4416 – 1053.4038,−98.7%
Ria,AUD,NGN,12.49507,888.9812 – 1077.2988,−98.7%
Ria,GBP,NGN,23.51425,1777.5049 – 1922.4951,−98.7%
Ria,PLN,NGN,4.79532,346.5502 – 403.2698,−98.7%
TransferGo,GBP,NGN,110.89447,1777.5049 – 1922.4951,−94.0%
TransferGo,EUR,NGN,110.89447,1552.9165 – 1654.1575,−93.1%
Ria,AUD,INR,7.99639,66.7426 – 70.0921,−88.3%
Ria,USD,INR,11.12699,93.6118 – 95.4718,−88.2%
Ria,CAD,INR,8.13367,67.9174 – 70.0608,−88.2%
Ria,PLN,INR,3.06883,24.9338 – 26.9896,−88.2%
Ria,GBP,INR,15.04826,124.6166 – 129.8967,−88.2%
Ria,EUR,INR,13.03836,106.8637 – 113.3299,−88.2%
Ria,USD,PKR,60.73343,270.5292 – 287.6338,−78.2%
Ria,GBP,PKR,82.69988,370.4255 – 388.0305,−78.2%
Ria,CAD,PKR,44.69975,191.0952 – 216.1608,−78.0%
Ria,AUD,PKR,43.94531,191.1005 – 208.8875,−78.0%
Ria,EUR,PKR,71.65421,311.3050 – 338.9628,−78.0%
Ria,PLN,PKR,16.86519,73.1971 – 78.4239,−77.8%
TransferGo,PLN,NGN,110.89447,346.5502 – 403.2698,−70.4%
Ria,AUD,GHS,11.10361,7.9145 – 8.0055,+39.5%
Ria,EUR,GHS,8.13367,12.8305 – 13.2491,−37.6%
Ria,AUD,KES,68.01924,90.3868 – 94.5560,−26.4%
Ria,USD,KES,94.25347,121.1447 – 134.8752,−26.4%
Ria,PLN,KES,26.10420,32.3036 – 38.4621,−26.2%
Ria,EUR,KES,110.49284,143.0889 – 155.4001,−26.0%
Ria,GBP,KES,128.00415,161.8800 – 180.2651,−25.2%
Ria,CAD,KES,69.18697,84.3691 – 99.4289,−24.7%
Ria,GBP,GHS,13.03836,14.9302 – 15.1898,−13.4%
TransferGo,GBP,INR,110.89447,124.6166 – 129.8967,−12.9%
Western Union,USD,GHS,10.23340,11.0718 – 11.1418,−7.9%
Xoom,AUD,GHS,7.82900,7.9145 – 8.0055,−1.6%
Western Union,AUD,GHS,8.05790,7.9145 – 8.0055,+1.2%
Xoom,USD,GHS,11.05360,11.0718 – 11.1418,−0.5%
