provider_name,provider_url,send_currency,receive_currency,currency_pair
Wise,https://wise.com,AED,GHS,AED/GHS
Wise,https://wise.com,AED,INR,AED/INR
Wise,https://wise.com,AED,KES,AED/KES
Wise,https://wise.com,AED,MXN,AED/MXN
Wise,https://wise.com,AED,NGN,AED/NGN
Wise,https://wise.com,AED,PHP,AED/PHP
Wise,https://wise.com,AED,PKR,AED/PKR
Wise,https://wise.com,AUD,GHS,AUD/GHS
Wise,https://wise.com,AUD,INR,AUD/INR
Wise,https://wise.com,AUD,KES,AUD/KES
Wise,https://wise.com,AUD,MXN,AUD/MXN
Wise,https://wise.com,AUD,NGN,AUD/NGN
Wise,https://wise.com,AUD,PHP,AUD/PHP
Wise,https://wise.com,AUD,PKR,AUD/PKR
Wise,https://wise.com,CAD,GHS,CAD/GHS
Wise,https://wise.com,CAD,INR,CAD/INR
Wise,https://wise.com,CAD,KES,CAD/KES
Wise,https://wise.com,CAD,MXN,CAD/MXN
Wise,https://wise.com,CAD,NGN,CAD/NGN
Wise,https://wise.com,CAD,PHP,CAD/PHP
Wise,https://wise.com,CAD,PKR,CAD/PKR
Wise,https://wise.com,EUR,GHS,EUR/GHS
Wise,https://wise.com,EUR,INR,EUR/INR
Wise,https://wise.com,EUR,KES,EUR/KES
Wise,https://wise.com,EUR,MXN,EUR/MXN
Wise,https://wise.com,EUR,NGN,EUR/NGN
Wise,https://wise.com,EUR,PHP,EUR/PHP
Wise,https://wise.com,EUR,PKR,EUR/PKR
Wise,https://wise.com,GBP,GHS,GBP/GHS
Wise,https://wise.com,GBP,INR,GBP/INR
Wise,https://wise.com,GBP,KES,GBP/KES
Wise,https://wise.com,GBP,MXN,GBP/MXN
Wise,https://wise.com,GBP,NGN,GBP/NGN
Wise,https://wise.com,GBP,PHP,GBP/PHP
Wise,https://wise.com,GBP,PKR,GBP/PKR
Wise,https://wise.com,PLN,GHS,PLN/GHS
Wise,https://wise.com,PLN,INR,PLN/INR
Wise,https://wise.com,PLN,KES,PLN/KES
Wise,https://wise.com,PLN,MXN,PLN/MXN
Wise,https://wise.com,PLN,NGN,PLN/NGN
Wise,https://wise.com,PLN,PHP,PLN/PHP
Wise,https://wise.com,PLN,PKR,PLN/PKR
Wise,https://wise.com,USD,GHS,USD/GHS
Wise,https://wise.com,USD,INR,USD/INR
Wise,https://wise.com,USD,KES,USD/KES
Wise,https://wise.com,USD,MXN,USD/MXN
Wise,https://wise.com,USD,NGN,USD/NGN
Wise,https://wise.com,USD,PHP,USD/PHP
Wise,https://wise.com,USD,PKR,USD/PKR
Remitly,https://remitly.com,AED,GHS,AED/GHS
Remitly,https://remitly.com,AED,INR,AED/INR
Remitly,https://remitly.com,AED,KES,AED/KES
Remitly,https://remitly.com,AED,MXN,AED/MXN
Remitly,https://remitly.com,AED,NGN,AED/NGN
Remitly,https://remitly.com,AED,PHP,AED/PHP
Remitly,https://remitly.com,AED,PKR,AED/PKR
Remitly,https://remitly.com,AUD,GHS,AUD/GHS
Remitly,https://remitly.com,AUD,INR,AUD/INR
Remitly,https://remitly.com,AUD,KES,AUD/KES
Remitly,https://remitly.com,AUD,MXN,AUD/MXN
Remitly,https://remitly.com,AUD,NGN,AUD/NGN
Remitly,https://remitly.com,AUD,PHP,AUD/PHP
Remitly,https://remitly.com,AUD,PKR,AUD/PKR
Remitly,https://remitly.com,CAD,GHS,CAD/GHS
Remitly,https://remitly.com,CAD,INR,CAD/INR
Remitly,https://remitly.com,CAD,KES,CAD/KES
Remitly,https://remitly.com,CAD,MXN,CAD/MXN
Remitly,https://remitly.com,CAD,NGN,CAD/NGN
Remitly,https://remitly.com,CAD,PHP,CAD/PHP
Remitly,https://remitly.com,CAD,PKR,CAD/PKR
Remitly,https://remitly.com,EUR,GHS,EUR/GHS
Remitly,https://remitly.com,EUR,INR,EUR/INR
Remitly,https://remitly.com,EUR,KES,EUR/KES
Remitly,https://remitly.com,EUR,MXN,EUR/MXN
Remitly,https://remitly.com,EUR,NGN,EUR/NGN
Remitly,https://remitly.com,EUR,PHP,EUR/PHP
Remitly,https://remitly.com,EUR,PKR,EUR/PKR
Remitly,https://remitly.com,GBP,GHS,GBP/GHS
Remitly,https://remitly.com,GBP,INR,GBP/INR
Remitly,https://remitly.com,GBP,KES,GBP/KES
Remitly,https://remitly.com,GBP,MXN,GBP/MXN
Remitly,https://remitly.com,GBP,NGN,GBP/NGN
Remitly,https://remitly.com,GBP,PHP,GBP/PHP
Remitly,https://remitly.com,GBP,PKR,GBP/PKR
Remitly,https://remitly.com,PLN,GHS,PLN/GHS
Remitly,https://remitly.com,PLN,INR,PLN/INR
Remitly,https://remitly.com,PLN,KES,PLN/KES
Remitly,https://remitly.com,PLN,MXN,PLN/MXN
Remitly,https://remitly.com,PLN,NGN,PLN/NGN
Remitly,https://remitly.com,PLN,PHP,PLN/PHP
Remitly,https://remitly.com,PLN,PKR,PLN/PKR
Remitly,https://remitly.com,USD,GHS,USD/GHS
Remitly,https://remitly.com,USD,INR,USD/INR
Remitly,https://remitly.com,USD,KES,USD/KES
Remitly,https://remitly.com,USD,MXN,USD/MXN
Remitly,https://remitly.com,USD,NGN,USD/NGN
Remitly,https://remitly.com,USD,PHP,USD/PHP
Remitly,https://remitly.com,USD,PKR,USD/PKR
WorldRemit,https://worldremit.com,AUD,GHS,AUD/GHS
WorldRemit,https://worldremit.com,AUD,INR,AUD/INR
WorldRemit,https://worldremit.com,AUD,KES,AUD/KES
WorldRemit,https://worldremit.com,AUD,MXN,AUD/MXN
WorldRemit,https://worldremit.com,AUD,NGN,AUD/NGN
WorldRemit,https://worldremit.com,AUD,PHP,AUD/PHP
WorldRemit,https://worldremit.com,AUD,PKR,AUD/PKR
WorldRemit,https://worldremit.com,CAD,GHS,CAD/GHS
WorldRemit,https://worldremit.com,CAD,INR,CAD/INR
WorldRemit,https://worldremit.com,CAD,KES,CAD/KES
WorldRemit,https://worldremit.com,CAD,MXN,CAD/MXN
WorldRemit,https://worldremit.com,CAD,NGN,CAD/NGN
WorldRemit,https://worldremit.com,CAD,PHP,CAD/PHP
WorldRemit,https://worldremit.com,CAD,PKR,CAD/PKR
WorldRemit,https://worldremit.com,EUR,GHS,EUR/GHS
WorldRemit,https://worldremit.com,EUR,INR,EUR/INR
WorldRemit,https://worldremit.com,EUR,KES,EUR/KES
WorldRemit,https://worldremit.com,EUR,MXN,EUR/MXN
WorldRemit,https://worldremit.com,EUR,NGN,EUR/NGN
WorldRemit,https://worldremit.com,EUR,PHP,EUR/PHP
WorldRemit,https://worldremit.com,EUR,PKR,EUR/PKR
WorldRemit,https://worldremit.com,GBP,GHS,GBP/GHS
WorldRemit,https://worldremit.com,GBP,INR,GBP/INR
WorldRemit,https://worldremit.com,GBP,KES,GBP/KES
WorldRemit,https://worldremit.com,GBP,MXN,GBP/MXN
WorldRemit,https://worldremit.com,GBP,NGN,GBP/NGN
WorldRemit,https://worldremit.com,GBP,PHP,GBP/PHP
WorldRemit,https://worldremit.com,GBP,PKR,GBP/PKR
WorldRemit,https://worldremit.com,PLN,GHS,PLN/GHS
WorldRemit,https://worldremit.com,PLN,INR,PLN/INR
WorldRemit,https://worldremit.com,PLN,KES,PLN/KES
WorldRemit,https://worldremit.com,PLN,MXN,PLN/MXN
WorldRemit,https://worldremit.com,PLN,NGN,PLN/NGN
WorldRemit,https://worldremit.com,PLN,PHP,PLN/PHP
WorldRemit,https://worldremit.com,PLN,PKR,PLN/PKR
WorldRemit,https://worldremit.com,USD,GHS,USD/GHS
WorldRemit,https://worldremit.com,USD,INR,USD/INR
WorldRemit,https://worldremit.com,USD,KES,USD/KES
WorldRemit,https://worldremit.com,USD,MXN,USD/MXN
WorldRemit,https://worldremit.com,USD,NGN,USD/NGN
WorldRemit,https://worldremit.com,USD,PHP,USD/PHP
WorldRemit,https://worldremit.com,USD,PKR,USD/PKR
Western Union,https://westernunion.com,AED,GHS,AED/GHS
Western Union,https://westernunion.com,AED,INR,AED/INR
Western Union,https://westernunion.com,AED,KES,AED/KES
