provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error,validationStatus,deviationFromMid,boundsMin,boundsMax
Panda Remit,AUD,GHS,1000,,,,2026-05-16T12:49:01.809Z,false,unable to acquire,,,,
Panda Remit,AUD,INR,1000,70.3964,70396.4,,2026-05-16T12:49:03.811Z,true,,suspect,29.2,46.32,62.67
Panda Remit,AUD,MXN,1000,,,,2026-05-16T12:49:12.663Z,false,unable to acquire,,,,
Panda Remit,AUD,PHP,1000,44.5439,44543.9,,2026-05-16T12:49:14.665Z,true,,suspect,21,31.28,42.32
Panda Remit,AUD,PKR,1000,198.3064,198306.4,,2026-05-16T12:49:24.252Z,true,,valid,10.2,153,207
Panda Remit,CAD,GHS,1000,,,,2026-05-16T12:49:28.603Z,false,unable to acquire,,,,
Panda Remit,CAD,INR,1000,71.0077,71007.7,,2026-05-16T12:49:30.603Z,true,,valid,13.6,53.13,71.88
Panda Remit,CAD,MXN,1000,12.6184,12618.4,,2026-05-16T12:49:34.733Z,true,,valid,-11.1,12.07,16.33
Panda Remit,CAD,PHP,1000,45.394,45394,,2026-05-16T12:49:39.086Z,true,,valid,6.8,36.13,48.87
Panda Remit,CAD,PKR,1000,,,,2026-05-16T12:49:43.228Z,false,unable to acquire,,,,
Panda Remit,EUR,GHS,1000,12.946299999999999,12946.3,,2026-05-16T12:49:49.603Z,true,,suspect,-23.8,14.45,19.55
Panda Remit,EUR,INR,1000,110.8517,110851.7,,2026-05-16T12:49:57.007Z,true,,valid,14.9,82.02,110.97
Panda Remit,EUR,MXN,1000,,,,2026-05-16T12:50:01.138Z,false,unable to acquire,,,,
Panda Remit,EUR,PHP,1000,71.0408,71040.8,,2026-05-16T12:50:03.138Z,true,,valid,8.5,55.67,75.32
Panda Remit,EUR,PKR,1000,,,,2026-05-16T12:50:07.330Z,false,unable to acquire,,,,
Panda Remit,GBP,GHS,1000,15.211,15211,,2026-05-16T12:50:09.331Z,true,,suspect,-23.9,17,23
Panda Remit,GBP,INR,1000,128.4155,128415.50000000001,,2026-05-16T12:50:16.628Z,true,,valid,13.1,96.47,130.52
Panda Remit,GBP,MXN,1000,,,,2026-05-16T12:50:20.875Z,false,unable to acquire,,,,
Panda Remit,GBP,PHP,1000,81.6402,81640.2,,2026-05-16T12:50:22.875Z,true,,valid,6.3,65.28,88.32
Panda Remit,GBP,PKR,1000,,,,2026-05-16T12:50:27.005Z,false,unable to acquire,,,,
Panda Remit,USD,GHS,1000,11.388,11388,,2026-05-16T12:50:33.331Z,true,,suspect,-24.1,12.75,17.25
Panda Remit,USD,INR,1000,96.4169,96416.9,,2026-05-16T12:50:40.829Z,true,,valid,12.8,72.67,98.32
Panda Remit,USD,MXN,1000,17.7035,17703.5,,2026-05-16T12:50:44.988Z,true,,valid,-9.2,16.57,22.42
Panda Remit,USD,PHP,1000,62.95,62950,,2026-05-16T12:50:49.434Z,true,,valid,8.5,49.3,66.7
Panda Remit,USD,PKR,1000,279.0509,279050.9,,2026-05-16T12:50:53.629Z,true,,valid,-1.4,240.55,325.45
