provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error,validationStatus,deviationFromMid,boundsMin,boundsMax
Wise,AED,GHS,1000,3.1133,3113.3,,2026-05-17T10:01:46.411Z,true,,suspect,-24.1,3.48,4.71
Wise,AED,INR,1000,26.1365,26136.5,,2026-05-17T10:01:52.093Z,true,,valid,12.2,19.8,26.79
Wise,AED,KES,1000,35.2301,35230.1,,2026-05-17T10:01:55.191Z,true,,valid,-0.5,30.09,40.71
Wise,AED,MXN,1000,4.7182,4718.200000000001,,2026-05-17T10:01:58.193Z,true,,valid,-11,4.5,6.09
Wise,AED,NGN,1000,372.483,372483,,2026-05-17T10:02:01.201Z,true,,valid,-11.7,316.5,527.5
Wise,AED,PHP,1000,16.7671,16767.1,,2026-05-17T10:02:04.271Z,true,,valid,6.1,13.43,18.17
Wise,AED,PKR,1000,75.8543,75854.29999999999,,2026-05-17T10:02:07.276Z,true,,valid,-1.5,65.45,88.55
Wise,AUD,GHS,1000,8.1766,8176.6,,2026-05-17T10:02:10.237Z,true,,valid,-13.9,8.07,10.92
Wise,AUD,INR,1000,68.6442,68644.2,,2026-05-17T10:02:13.223Z,true,,suspect,26,46.32,62.67
Wise,AUD,KES,1000,92.5275,92527.5,,2026-05-17T10:02:18.626Z,true,,valid,11.5,70.55,95.45
Wise,AUD,MXN,1000,12.3918,12391.8,,2026-05-17T10:02:21.659Z,true,,valid,0.7,10.46,14.14
Wise,AUD,NGN,1000,978.281,978281,,2026-05-17T10:02:24.744Z,true,,valid,-0.2,735,1225
Wise,AUD,PHP,1000,44.0367,44036.700000000004,,2026-05-17T10:02:27.792Z,true,,suspect,19.7,31.28,42.32
Wise,AUD,PKR,1000,199.222,199222,,2026-05-17T10:02:32.943Z,true,,valid,10.7,153,207
Wise,CAD,GHS,1000,8.3167,8316.7,,2026-05-17T10:02:35.979Z,true,,suspect,-24.4,9.35,12.65
Wise,CAD,INR,1000,69.8201,69820.09999999999,,2026-05-17T10:02:41.206Z,true,,valid,11.7,53.13,71.88
Wise,CAD,KES,1000,94.1125,94112.5,,2026-05-17T10:02:44.244Z,true,,valid,-0.9,80.75,109.25
Wise,CAD,MXN,1000,12.6041,12604.1,,2026-05-17T10:02:47.298Z,true,,valid,-11.2,12.07,16.33
Wise,CAD,NGN,1000,995.04,995040,,2026-05-17T10:02:50.444Z,true,,valid,-11.9,847.5,1412.5
Wise,CAD,PHP,1000,44.7911,44791.1,,2026-05-17T10:02:53.870Z,true,,valid,5.4,36.13,48.87
Wise,CAD,PKR,1000,202.635,202635,,2026-05-17T10:02:57.114Z,true,,valid,-2.1,175.95,238.05
Wise,EUR,GHS,1000,13.2943,13294.3,,2026-05-17T10:03:00.150Z,true,,suspect,-21.8,14.45,19.55
Wise,EUR,INR,1000,111.609,111609,,2026-05-17T10:03:05.440Z,true,,suspect,15.7,82.02,110.97
Wise,EUR,KES,1000,150.44,150440,,2026-05-17T10:03:10.501Z,true,,valid,2.3,124.95,169.05
Wise,EUR,MXN,1000,20.1479,20147.9,,2026-05-17T10:03:13.684Z,true,,valid,-8.4,18.7,25.3
Wise,EUR,NGN,1000,1590.59,1590590,,2026-05-17T10:03:16.751Z,true,,valid,-9.6,1320,2200
Wise,EUR,PHP,1000,71.5993,71599.3,,2026-05-17T10:03:19.833Z,true,,valid,9.3,55.67,75.32
Wise,EUR,PKR,1000,323.915,323915,,2026-05-17T10:03:22.864Z,true,,valid,1.2,272,368
Wise,GBP,GHS,1000,15.2371,15237.1,,2026-05-17T10:03:26.079Z,true,,suspect,-23.8,17,23
Wise,GBP,INR,1000,127.919,127919,,2026-05-17T10:03:31.242Z,true,,valid,12.7,96.47,130.52
Wise,GBP,KES,1000,172.426,172426,,2026-05-17T10:03:35.594Z,true,,valid,0.2,146.2,197.8
