provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error,validationStatus,deviationFromMid,boundsMin,boundsMax
Remitly,AED,GHS,1000,,,,2026-05-16T12:48:48.274Z,false,rate rejected: GHS rate too low,invalid,-24.012195121951216,3.4849999999999994,4.714999999999999
Remitly,AED,INR,1000,26.19,26190,,2026-05-16T12:48:52.034Z,true,,valid,12.4,19.8,26.79
Remitly,AED,KES,1000,35.05,35050,,2026-05-16T12:48:55.614Z,true,,valid,-1,30.09,40.71
Remitly,AED,MXN,1000,4.7147,4714.7,,2026-05-16T12:48:59.316Z,true,,valid,-11,4.5,6.09
Remitly,AED,NGN,1000,372.96,372960,,2026-05-16T12:49:03.041Z,true,,valid,-11.6,316.5,527.5
Remitly,AED,PHP,1000,16.84,16840,,2026-05-16T12:49:06.922Z,true,,valid,6.6,13.43,18.17
Remitly,AED,PKR,1000,76.67,76670,,2026-05-16T12:49:10.532Z,true,,valid,-0.4,65.45,88.55
Remitly,AUD,GHS,1000,8.1163,8116.300000000001,,2026-05-16T12:49:14.209Z,true,,valid,-14.6,8.07,10.92
Remitly,AUD,INR,1000,69.28,69280,,2026-05-16T12:49:17.969Z,true,,suspect,27.1,46.32,62.67
Remitly,AUD,KES,1000,94.52,94520,,2026-05-16T12:49:24.194Z,true,,valid,13.9,70.55,95.45
Remitly,AUD,MXN,1000,12.32,12320,,2026-05-16T12:49:27.902Z,true,,valid,0.2,10.46,14.14
Remitly,AUD,NGN,1000,1011.29,1011290,,2026-05-16T12:49:31.697Z,true,,valid,3.2,735,1225
Remitly,AUD,PHP,1000,45.47,45470,,2026-05-16T12:49:35.469Z,true,,suspect,23.6,31.28,42.32
Remitly,AUD,PKR,1000,207.4,207400,,2026-05-16T12:49:41.970Z,true,,suspect,15.2,153,207
Remitly,CAD,GHS,1000,8.1938,8193.8,,2026-05-16T12:49:48.240Z,true,,suspect,-25.5,9.35,12.65
Remitly,CAD,INR,1000,70.79,70790,,2026-05-16T12:49:54.425Z,true,,valid,13.3,53.13,71.88
Remitly,CAD,KES,1000,96.71,96710,,2026-05-16T12:49:59.061Z,true,,valid,1.8,80.75,109.25
Remitly,CAD,MXN,1000,13.1,13100,,2026-05-16T12:50:02.704Z,true,,valid,-7.7,12.07,16.33
Remitly,CAD,NGN,1000,1021.85,1021850,,2026-05-16T12:50:06.325Z,true,,valid,-9.6,847.5,1412.5
Remitly,CAD,PHP,1000,45.46,45460,,2026-05-16T12:50:10.052Z,true,,valid,7,36.13,48.87
Remitly,CAD,PKR,1000,206.9,206900,,2026-05-16T12:50:13.899Z,true,,valid,0,175.95,238.05
Remitly,EUR,GHS,1000,,,,2026-05-16T12:50:17.481Z,false,unable to acquire,,,,
Remitly,EUR,INR,1000,,,,2026-05-16T12:50:22.925Z,false,unable to acquire,,,,
Remitly,EUR,KES,1000,,,,2026-05-16T12:50:28.421Z,false,unable to acquire,,,,
Remitly,EUR,MXN,1000,,,,2026-05-16T12:50:33.468Z,false,rate rejected: exceeds 30% tolerance,invalid,9104.5,18.7,25.3
Remitly,EUR,NGN,1000,,,,2026-05-16T12:50:37.213Z,false,unable to acquire,,,,
Remitly,EUR,PHP,1000,,,,2026-05-16T12:50:42.639Z,false,unable to acquire,,,,
Remitly,EUR,PKR,1000,,,,2026-05-16T12:50:48.287Z,false,unable to acquire,,,,
Remitly,GBP,GHS,1000,15.2559,15255.9,,2026-05-16T12:50:53.689Z,true,,suspect,-23.7,17,23
Remitly,GBP,INR,1000,129.1,129100,,2026-05-16T12:50:59.752Z,true,,valid,13.7,96.47,130.52
Remitly,GBP,KES,1000,170.33,170330,,2026-05-16T12:51:03.265Z,true,,valid,-1,146.2,197.8
Remitly,GBP,MXN,1000,22.85,22850,,2026-05-16T12:51:06.904Z,true,,valid,-11.4,21.93,29.67
Remitly,GBP,NGN,1000,1862.05,1862050,,2026-05-16T12:51:10.638Z,true,,valid,-9.2,1537.5,2562.5
Remitly,GBP,PHP,1000,83.48,83480,,2026-05-16T12:51:14.259Z,true,,valid,8.7,65.28,88.32
Remitly,GBP,PKR,1000,376.17,376170,,2026-05-16T12:51:17.913Z,true,,valid,0.3,318.75,431.25
Remitly,PLN,GHS,1000,,,,2026-05-16T12:51:21.570Z,false,unable to acquire,,,,
Remitly,PLN,INR,1000,,,,2026-05-16T12:51:26.893Z,false,unable to acquire,,,,
