provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error,validationStatus,deviationFromMid,boundsMin,boundsMax
Ria,AUD,GHS,1000,8.1731,8173.099999999999,,2026-05-16T11:37:20.677Z,true,,valid,-14,8.07,10.92
Ria,AUD,INR,1000,68.61666,68616.65999999999,,2026-05-16T11:37:25.909Z,true,,suspect,25.9,46.32,62.67
Ria,AUD,KES,1000,93.24051,93240.51,,2026-05-16T11:37:33.589Z,true,,valid,12.3,70.55,95.45
Ria,AUD,MXN,1000,12.39702,12397.019999999999,,2026-05-16T11:37:37.127Z,true,,valid,0.8,10.46,14.14
Ria,AUD,NGN,1000,980.23397,980233.97,,2026-05-16T11:37:40.629Z,true,,valid,0,735,1225
Ria,AUD,PHP,1000,44.45408,44454.079999999994,,2026-05-16T11:37:44.192Z,true,,suspect,20.8,31.28,42.32
Ria,AUD,PKR,1000,199.17712,199177.12,,2026-05-16T11:37:51.656Z,true,,valid,10.7,153,207
Ria,CAD,GHS,1000,8.31369,8313.689999999999,,2026-05-16T11:37:55.179Z,true,,suspect,-24.4,9.35,12.65
Ria,CAD,INR,1000,69.79692,69796.92,,2026-05-16T11:38:03.070Z,true,,valid,11.7,53.13,71.88
Ria,CAD,KES,1000,94.07857,94078.56999999999,,2026-05-16T11:38:06.578Z,true,,valid,-1,80.75,109.25
Ria,CAD,MXN,1000,12.61026,12610.26,,2026-05-16T11:38:10.077Z,true,,valid,-11.2,12.07,16.33
Ria,CAD,NGN,1000,997.09481,997094.81,,2026-05-16T11:38:13.614Z,true,,valid,-11.8,847.5,1412.5
Ria,CAD,PHP,1000,44.84326,44843.26,,2026-05-16T11:38:17.144Z,true,,valid,5.5,36.13,48.87
Ria,CAD,PKR,1000,202.60313,202603.13,,2026-05-16T11:38:20.642Z,true,,valid,-2.1,175.95,238.05
Ria,EUR,GHS,1000,13.25447,13254.47,,2026-05-16T11:38:24.176Z,true,,suspect,-22,14.45,19.55
Ria,EUR,INR,1000,111.66499,111664.99,,2026-05-16T11:38:32.086Z,true,,suspect,15.7,82.02,110.97
Ria,EUR,KES,1000,150.3864,150386.40000000002,,2026-05-16T11:38:39.549Z,true,,valid,2.3,124.95,169.05
Ria,EUR,MXN,1000,20.15775,20157.75,,2026-05-16T11:38:43.072Z,true,,valid,-8.4,18.7,25.3
Ria,EUR,NGN,1000,1597.22612,1597226.12,,2026-05-16T11:38:46.558Z,true,,valid,-9.2,1320,2200
Ria,EUR,PHP,1000,71.68281,71682.81,,2026-05-16T11:38:50.061Z,true,,valid,9.4,55.67,75.32
Ria,EUR,PKR,1000,324.88646,324886.46,,2026-05-16T11:38:53.591Z,true,,valid,1.5,272,368
Ria,GBP,GHS,1000,15.21885,15218.85,,2026-05-16T11:38:57.092Z,true,,suspect,-23.9,17,23
Ria,GBP,INR,1000,128.21427,128214.27,,2026-05-16T11:39:05.065Z,true,,valid,13,96.47,130.52
Ria,GBP,KES,1000,172.39485,172394.84999999998,,2026-05-16T11:39:08.589Z,true,,valid,0.2,146.2,197.8
Ria,GBP,MXN,1000,23.10775,23107.75,,2026-05-16T11:39:12.091Z,true,,valid,-10.4,21.93,29.67
Ria,GBP,NGN,1000,1833.94262,1833942.62,,2026-05-16T11:39:15.575Z,true,,valid,-10.5,1537.5,2562.5
Ria,GBP,PHP,1000,82.17331,82173.31,,2026-05-16T11:39:19.074Z,true,,valid,7,65.28,88.32
Ria,GBP,PKR,1000,371.26134,371261.34,,2026-05-16T11:39:22.588Z,true,,valid,-1,318.75,431.25
Ria,PLN,GHS,1000,,,,2026-05-16T11:39:26.090Z,false,rate rejected: GHS rate too low,invalid,-17.630526315789467,3.23,4.369999999999999
Ria,PLN,INR,1000,26.27798,26277.98,,2026-05-16T11:39:30.140Z,true,,suspect,22.2,18.27,24.72
Ria,PLN,KES,1000,35.41982,35419.82,,2026-05-16T11:39:37.035Z,true,,valid,8,27.88,37.72
Ria,PLN,MXN,1000,4.74766,4747.66,,2026-05-16T11:39:40.562Z,true,,valid,-3.1,4.17,5.63
Ria,PLN,NGN,1000,375.39815,375398.14999999997,,2026-05-16T11:39:44.055Z,true,,valid,-4.5,294.75,491.25
Ria,PLN,PHP,1000,16.93453,16934.53,,2026-05-16T11:39:47.573Z,true,,suspect,16,12.41,16.79
Ria,PLN,PKR,1000,76.56144,76561.44,,2026-05-16T11:39:54.977Z,true,,valid,7.8,60.35,81.65
Ria,USD,GHS,1000,11.36541,11365.41,,2026-05-16T11:39:58.506Z,true,,suspect,-24.2,12.75,17.25
Ria,USD,INR,1000,95.97783,95977.83,,2026-05-16T11:40:07.051Z,true,,valid,12.3,72.67,98.32
Ria,USD,KES,1000,129.36757,129367.57,,2026-05-16T11:40:10.587Z,true,,valid,-0.5,110.5,149.5
Ria,USD,MXN,1000,17.34039,17340.39,,2026-05-16T11:40:14.074Z,true,,valid,-11.1,16.57,22.42
Ria,USD,NGN,1000,1369.58607,1369586.07,,2026-05-16T11:40:17.589Z,true,,valid,-11.6,1162.5,1937.5
Ria,USD,PHP,1000,61.66403,61664.03,,2026-05-16T11:40:21.123Z,true,,valid,6.3,49.3,66.7
Ria,USD,PKR,1000,278.58295,278582.94999999995,,2026-05-16T11:40:24.701Z,true,,valid,-1.6,240.55,325.45
