provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error,validationStatus,deviationFromMid,boundsMin,boundsMax
Sendwave,CAD,GHS,1000,8.23,8230,,2026-05-16T12:48:57.666Z,true,,suspect,-25.2,9.35,12.65
Sendwave,CAD,INR,1000,69.27,69270,,2026-05-16T12:49:30.088Z,true,,valid,10.8,53.13,71.88
Sendwave,CAD,KES,1000,92.43,92430,,2026-05-16T12:49:43.445Z,true,,valid,-2.7,80.75,109.25
Sendwave,CAD,MXN,1000,12.51,12510,,2026-05-16T12:49:56.822Z,true,,valid,-11.9,12.07,16.33
Sendwave,CAD,NGN,1000,993.33,993330,,2026-05-16T12:50:10.153Z,true,,valid,-12.1,847.5,1412.5
Sendwave,CAD,PHP,1000,44.6,44600,,2026-05-16T12:50:23.505Z,true,,valid,4.9,36.13,48.87
Sendwave,CAD,PKR,1000,204.47,204470,,2026-05-16T12:50:36.912Z,true,,valid,-1.2,175.95,238.05
Sendwave,EUR,GHS,1000,13.28,13280,,2026-05-16T12:50:50.412Z,true,,suspect,-21.9,14.45,19.55
Sendwave,EUR,INR,1000,110.96,110960,,2026-05-16T12:51:16.343Z,true,,valid,15,82.02,110.97
Sendwave,EUR,KES,1000,148.35,148350,,2026-05-16T12:51:29.674Z,true,,valid,0.9,124.95,169.05
Sendwave,EUR,MXN,1000,20.04,20040,,2026-05-16T12:51:43.006Z,true,,valid,-8.9,18.7,25.3
Sendwave,EUR,NGN,1000,1584.21,1584210,,2026-05-16T12:51:56.334Z,true,,valid,-10,1320,2200
Sendwave,EUR,PHP,1000,71.33,71330,,2026-05-16T12:52:09.672Z,true,,valid,8.9,55.67,75.32
Sendwave,EUR,PKR,1000,324.92,324920,,2026-05-16T12:52:23.023Z,true,,valid,1.5,272,368
Sendwave,GBP,GHS,1000,15.34,15340,,2026-05-16T12:52:36.473Z,false,unable to acquire,suspect,-23.3,17,23
Sendwave,GBP,INR,1000,127.19,127190,,2026-05-16T12:52:58.050Z,true,,valid,12.1,96.47,130.52
Sendwave,GBP,KES,1000,170.94,170940,,2026-05-16T12:53:11.367Z,true,,valid,-0.6,146.2,197.8
Sendwave,GBP,MXN,1000,22.88,22880,,2026-05-16T12:53:24.752Z,true,,valid,-11.3,21.93,29.67
Sendwave,GBP,NGN,1000,1819.03,1819030,,2026-05-16T12:53:38.150Z,true,,valid,-11.3,1537.5,2562.5
Sendwave,GBP,PHP,1000,82.3,82300,,2026-05-16T12:53:51.568Z,true,,valid,7.2,65.28,88.32
Sendwave,GBP,PKR,1000,372.81,372810,,2026-05-16T12:54:04.901Z,true,,valid,-0.6,318.75,431.25
Sendwave,USD,GHS,1000,11.37,11370,,2026-05-16T12:54:18.232Z,true,,suspect,-24.2,12.75,17.25
Sendwave,USD,INR,1000,95.44,95440,,2026-05-16T12:54:43.950Z,true,,valid,11.6,72.67,98.32
Sendwave,USD,KES,1000,128.95,128949.99999999999,,2026-05-16T12:54:57.281Z,true,,valid,-0.8,110.5,149.5
Sendwave,USD,MXN,1000,17.23,17230,,2026-05-16T12:55:17.881Z,true,,valid,-11.6,16.57,22.42
Sendwave,USD,NGN,1000,1360.05,1360050,,2026-05-16T12:55:31.219Z,true,,valid,-12.3,1162.5,1937.5
Sendwave,USD,PHP,1000,61.24,61240,,2026-05-16T12:55:44.561Z,true,,valid,5.6,49.3,66.7
Sendwave,USD,PKR,1000,281.52,281520,,2026-05-16T12:55:57.917Z,true,,valid,-0.5,240.55,325.45
