provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error,validationStatus,deviationFromMid,boundsMin,boundsMax
Western Union,AED,GHS,1000,3.0862,3086.2,,2026-05-17T09:43:54.465Z,true,,suspect,-24.7,3.48,4.71
Western Union,AED,INR,1000,26.1318,26131.8,,2026-05-17T09:44:15.426Z,true,,valid,12.2,19.8,26.79
Western Union,AED,KES,1000,35.0155,35015.5,,2026-05-17T09:44:20.570Z,true,,valid,-1.1,30.09,40.71
Western Union,AED,MXN,1000,4.5063,4506.3,,2026-05-17T09:44:30.898Z,true,,valid,-15,4.5,6.09
Western Union,AED,NGN,1000,362.0002,362000.2,,2026-05-17T09:44:41.179Z,true,,valid,-14.2,316.5,527.5
Western Union,AED,PHP,1000,16.7705,16770.5,,2026-05-17T09:44:51.767Z,true,,valid,6.1,13.43,18.17
Western Union,AED,PKR,1000,75.7969,75796.9,,2026-05-17T09:44:56.845Z,true,,valid,-1.6,65.45,88.55
Western Union,AUD,GHS,1000,8.2028,8202.8,,2026-05-17T09:45:08.281Z,true,,valid,-13.7,8.07,10.92
Western Union,AUD,INR,1000,69.4872,69487.2,,2026-05-17T09:45:13.612Z,true,,suspect,27.5,46.32,62.67
Western Union,AUD,KES,1000,92.5151,92515.1,,2026-05-17T09:45:22.769Z,true,,valid,11.5,70.55,95.45
Western Union,AUD,MXN,1000,11.9741,11974.1,,2026-05-17T09:45:27.880Z,true,,valid,-2.6,10.46,14.14
Western Union,AUD,NGN,1000,960.3618,960361.8,,2026-05-17T09:45:32.987Z,true,,valid,-2,735,1225
Western Union,AUD,PHP,1000,44.1766,44176.6,,2026-05-17T09:45:38.063Z,true,,suspect,20,31.28,42.32
Western Union,AUD,PKR,1000,199.2638,199263.80000000002,,2026-05-17T09:45:47.186Z,true,,valid,10.7,153,207
Western Union,CAD,GHS,1000,8.0992,8099.2,,2026-05-17T09:45:52.286Z,true,,suspect,-26.4,9.35,12.65
Western Union,CAD,INR,1000,69.4478,69447.8,,2026-05-17T09:46:02.208Z,true,,valid,11.1,53.13,71.88
