provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error
Wise,AED,GHS,1000,3.0192,3019.2000000000003,,2026-04-25T15:49:17.199Z,true,
Wise,AED,INR,1000,25.6146,25614.6,,2026-04-25T15:49:20.717Z,true,
Wise,AED,KES,1000,35.2286,35228.6,,2026-04-25T15:49:23.764Z,true,
Wise,AED,MXN,1000,4.7349,4734.9,,2026-04-25T15:49:26.785Z,true,
Wise,AED,NGN,1000,372.737,372737,,2026-04-25T15:49:29.807Z,true,
Wise,AED,PHP,1000,16.5249,16524.899999999998,,2026-04-25T15:49:32.795Z,true,
Wise,AED,PKR,1000,76.0418,76041.79999999999,,2026-04-25T15:49:35.806Z,true,
Wise,AUD,GHS,1000,7.9282,7928.200000000001,,2026-04-25T15:49:38.787Z,true,
Wise,AUD,INR,1000,67.2623,67262.3,,2026-04-25T15:49:42.075Z,true,
Wise,AUD,KES,1000,92.5081,92508.1,,2026-04-25T15:49:45.132Z,true,
Wise,AUD,MXN,1000,12.4335,12433.5,,2026-04-25T15:49:48.170Z,true,
Wise,AUD,NGN,1000,978.784,978784,,2026-04-25T15:49:51.175Z,true,
Wise,AUD,PHP,1000,43.3934,43393.4,,2026-04-25T15:49:54.510Z,true,
Wise,AUD,PKR,1000,199.681,199681,,2026-04-25T15:49:57.632Z,true,
Wise,CAD,GHS,1000,8.1124,8112.399999999999,,2026-04-25T15:50:00.603Z,true,
Wise,CAD,INR,1000,68.8243,68824.29999999999,,2026-04-25T15:50:03.684Z,true,
Wise,CAD,KES,1000,94.6564,94656.40000000001,,2026-04-25T15:50:06.682Z,true,
Wise,CAD,MXN,1000,12.7223,12722.300000000001,,2026-04-25T15:50:09.752Z,true,
Wise,CAD,NGN,1000,1001.51,1001510,,2026-04-25T15:50:12.722Z,true,
Wise,CAD,PHP,1000,44.4011,44401.1,,2026-04-25T15:50:15.772Z,true,
Wise,CAD,PKR,1000,204.318,204318,,2026-04-25T15:50:18.797Z,true,
Wise,EUR,GHS,1000,12.9958,12995.8,,2026-04-25T15:50:21.850Z,true,
Wise,EUR,INR,1000,110.255,110255,,2026-04-25T15:50:24.912Z,true,
Wise,EUR,KES,1000,151.637,151637,,2026-04-25T15:50:28.041Z,true,
Wise,EUR,MXN,1000,20.3808,20380.8,,2026-04-25T15:50:30.995Z,true,
Wise,EUR,NGN,1000,1604.4,1604400,,2026-04-25T15:50:33.899Z,true,
Wise,EUR,PHP,1000,71.1295,71129.5,,2026-04-25T15:50:37.108Z,true,
Wise,EUR,PKR,1000,327.313,327313,,2026-04-25T15:50:40.107Z,true,
Wise,GBP,GHS,1000,15.0059,15005.9,,2026-04-25T15:50:43.085Z,true,
Wise,GBP,INR,1000,127.308,127308,,2026-04-25T15:50:46.173Z,true,
Wise,GBP,KES,1000,175.091,175091,,2026-04-25T15:50:49.219Z,true,
Wise,GBP,MXN,1000,23.5331,23533.100000000002,,2026-04-25T15:50:52.231Z,true,
Wise,GBP,NGN,1000,1852.56,1852560,,2026-04-25T15:50:55.317Z,true,
Wise,GBP,PHP,1000,82.1311,82131.1,,2026-04-25T15:50:58.429Z,true,
Wise,GBP,PKR,1000,377.938,377938,,2026-04-25T15:51:01.470Z,true,
Wise,PLN,GHS,1000,3.0629,3062.9,,2026-04-25T15:51:04.413Z,true,
Wise,PLN,INR,1000,25.9857,25985.7,,2026-04-25T15:51:07.446Z,true,
Wise,PLN,KES,1000,35.7389,35738.9,,2026-04-25T15:51:10.513Z,true,
Wise,PLN,MXN,1000,4.8035,4803.5,,2026-04-25T15:51:13.552Z,true,
Wise,PLN,NGN,1000,378.137,378137,,2026-04-25T15:51:16.660Z,true,
Wise,PLN,PHP,1000,16.7643,16764.3,,2026-04-25T15:51:19.734Z,true,
Wise,PLN,PKR,1000,77.1434,77143.4,,2026-04-25T15:51:22.713Z,true,
Wise,USD,GHS,1000,11.09,11090,,2026-04-25T15:51:25.772Z,true,
Wise,USD,INR,1000,94.0863,94086.29999999999,,2026-04-25T15:51:28.734Z,true,
Wise,USD,KES,1000,129.4,129400,,2026-04-25T15:51:31.711Z,true,
Wise,USD,MXN,1000,17.392,17392,,2026-04-25T15:51:34.702Z,true,
Wise,USD,NGN,1000,1369.12,1369120,,2026-04-25T15:51:37.648Z,true,
Wise,USD,PHP,1000,60.6985,60698.5,,2026-04-25T15:51:40.616Z,true,
Wise,USD,PKR,1000,279.313,279313,,2026-04-25T15:51:43.773Z,true,
