provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error,validationStatus,deviationFromMid,boundsMin,boundsMax
WorldRemit,AUD,GHS,1000,8.12966,8129.66,,2026-05-17T09:37:46.707Z,true,,valid,-14.4,8.07,10.92
WorldRemit,AUD,INR,1000,69.103,69103,,2026-05-17T09:37:59.293Z,true,,suspect,26.8,46.32,62.67
WorldRemit,AUD,KES,1000,92.81,92810,,2026-05-17T09:38:14.118Z,true,,valid,11.8,70.55,95.45
WorldRemit,AUD,MXN,1000,12.1526,12152.6,,2026-05-17T09:38:20.731Z,true,,valid,-1.2,10.46,14.14
WorldRemit,AUD,NGN,1000,1010.176,1010176,,2026-05-17T09:38:27.347Z,true,,valid,3.1,735,1225
WorldRemit,AUD,PHP,1000,44.14,44140,,2026-05-17T09:38:33.954Z,true,,suspect,19.9,31.28,42.32
WorldRemit,AUD,PKR,1000,207.207,207207,,2026-05-17T09:38:48.688Z,true,,suspect,15.1,153,207
WorldRemit,CAD,GHS,1000,8.23668,8236.68,,2026-05-17T09:39:03.425Z,true,,suspect,-25.1,9.35,12.65
WorldRemit,CAD,INR,1000,69.172,69172,,2026-05-17T09:39:20.749Z,true,,valid,10.7,53.13,71.88
WorldRemit,CAD,KES,1000,91.964,91964,,2026-05-17T09:39:27.359Z,true,,valid,-3.2,80.75,109.25
WorldRemit,CAD,MXN,1000,12.3232,12323.2,,2026-05-17T09:39:33.958Z,true,,valid,-13.2,12.07,16.33
WorldRemit,CAD,NGN,1000,969.459,969459,,2026-05-17T09:39:40.569Z,true,,valid,-14.2,847.5,1412.5
WorldRemit,CAD,PHP,1000,45.285,45285,,2026-05-17T09:39:47.164Z,true,,valid,6.6,36.13,48.87
WorldRemit,CAD,PKR,1000,201.698,201698,,2026-05-17T09:39:53.774Z,true,,valid,-2.6,175.95,238.05
WorldRemit,EUR,GHS,1000,13.2849,13284.9,,2026-05-17T09:40:00.394Z,true,,suspect,-21.9,14.45,19.55
WorldRemit,EUR,INR,1000,108.627,108627,,2026-05-17T09:40:17.703Z,true,,valid,12.6,82.02,110.97
WorldRemit,EUR,KES,1000,148.357,148357,,2026-05-17T09:40:24.307Z,true,,valid,0.9,124.95,169.05
WorldRemit,EUR,MXN,1000,19.678900000000002,19678.9,,2026-05-17T09:40:30.927Z,true,,valid,-10.6,18.7,25.3
WorldRemit,EUR,NGN,1000,1584.218,1584218,,2026-05-17T09:40:37.572Z,true,,valid,-10,1320,2200
WorldRemit,EUR,PHP,1000,71.34,71340,,2026-05-17T09:40:44.191Z,true,,valid,8.9,55.67,75.32
WorldRemit,EUR,PKR,1000,320.712,320712,,2026-05-17T09:40:50.805Z,true,,valid,0.2,272,368
WorldRemit,GBP,GHS,1000,15.3403,15340.3,,2026-05-17T09:40:57.411Z,true,,suspect,-23.3,17,23
WorldRemit,GBP,INR,1000,126.876,126876,,2026-05-17T09:41:14.750Z,true,,valid,11.8,96.47,130.52
WorldRemit,GBP,KES,1000,167.821,167821,,2026-05-17T09:41:21.355Z,true,,valid,-2.4,146.2,197.8
WorldRemit,GBP,MXN,1000,22.5454,22545.4,,2026-05-17T09:41:27.975Z,true,,valid,-12.6,21.93,29.67
WorldRemit,GBP,NGN,1000,1819.039,1819039,,2026-05-17T09:41:34.586Z,true,,valid,-11.3,1537.5,2562.5
WorldRemit,GBP,PHP,1000,82.286,82286,,2026-05-17T09:41:41.182Z,true,,valid,7.1,65.28,88.32
WorldRemit,GBP,PKR,1000,373.186,373186,,2026-05-17T09:41:47.769Z,true,,valid,-0.5,318.75,431.25
WorldRemit,PLN,GHS,1000,3.05803,3058.03,,2026-05-17T09:41:54.384Z,true,,suspect,-19.5,3.23,4.37
WorldRemit,PLN,INR,1000,25.73,25730,,2026-05-17T09:42:11.676Z,true,,suspect,19.7,18.27,24.72
WorldRemit,PLN,KES,1000,33.638,33638,,2026-05-17T09:42:26.436Z,true,,valid,2.6,27.88,37.72
WorldRemit,PLN,MXN,1000,4.7011,4701.1,,2026-05-17T09:42:33.056Z,true,,valid,-4.1,4.17,5.63
WorldRemit,PLN,NGN,1000,366.225,366225,,2026-05-17T09:42:39.665Z,true,,valid,-6.8,294.75,491.25
WorldRemit,PLN,PHP,1000,16.398327966559332,16398.327966559333,,2026-05-17T09:42:46.251Z,true,,valid,12.3,12.41,16.79
WorldRemit,PLN,PKR,1000,75.158,75158,,2026-05-17T09:42:52.875Z,true,,valid,5.9,60.35,81.65
WorldRemit,USD,GHS,1000,11.37,11370,,2026-05-17T09:42:59.474Z,true,,suspect,-24.2,12.75,17.25
WorldRemit,USD,INR,1000,95.545,95545,,2026-05-17T09:43:16.826Z,true,,valid,11.7,72.67,98.32
WorldRemit,USD,KES,1000,128.007,128007,,2026-05-17T09:43:23.429Z,true,,valid,-1.5,110.5,149.5
WorldRemit,USD,MXN,1000,16.9444,16944.4,,2026-05-17T09:43:30.016Z,true,,valid,-13.1,16.57,22.42
WorldRemit,USD,NGN,1000,1362.13,1362130,,2026-05-17T09:43:36.631Z,true,,valid,-12.1,1162.5,1937.5
WorldRemit,USD,PHP,1000,61.813,61813,,2026-05-17T09:43:43.234Z,true,,valid,6.6,49.3,66.7
WorldRemit,USD,PKR,1000,278.65,278650,,2026-05-17T09:43:49.846Z,true,,valid,-1.5,240.55,325.45
