provider,sendCurrency,receiveCurrency,sendAmount,exchangeRate,receiveAmount,fee,timestamp,success,error,validationStatus,deviationFromMid,boundsMin,boundsMax
Xoom,AUD,GHS,1000,8.0052,8005.200000000001,,2026-05-17T09:49:39.292Z,true,,suspect,-15.7,8.07,10.92
Xoom,AUD,INR,1000,69.1764,69176.4,,2026-05-17T09:49:45.783Z,true,,suspect,26.9,46.32,62.67
Xoom,AUD,KES,1000,90.0963,90096.3,,2026-05-17T09:49:51.769Z,true,,valid,8.5,70.55,95.45
Xoom,AUD,MXN,1000,11.9683,11968.3,,2026-05-17T09:49:55.451Z,true,,valid,-2.7,10.46,14.14
Xoom,AUD,NGN,1000,952.994,952994,,2026-05-17T09:49:58.991Z,true,,valid,-2.8,735,1225
Xoom,AUD,PHP,1000,45.7792,45779.200000000004,,2026-05-17T09:50:02.411Z,true,,suspect,24.4,31.28,42.32
Xoom,AUD,PKR,1000,195.0969,195096.9,,2026-05-17T09:50:08.704Z,true,,valid,8.4,153,207
Xoom,CAD,GHS,1000,8.2265,8226.5,,2026-05-17T09:50:12.527Z,true,,suspect,-25.2,9.35,12.65
Xoom,CAD,INR,1000,68.8918,68891.8,,2026-05-17T09:50:18.658Z,true,,valid,10.2,53.13,71.88
Xoom,CAD,KES,1000,89.6385,89638.5,,2026-05-17T09:50:22.087Z,true,,valid,-5.6,80.75,109.25
Xoom,CAD,MXN,1000,12.2764,12276.400000000001,,2026-05-17T09:50:25.849Z,true,,valid,-13.5,12.07,16.33
Xoom,CAD,NGN,1000,974.4608,974460.7999999999,,2026-05-17T09:50:29.153Z,true,,valid,-13.8,847.5,1412.5
Xoom,CAD,PHP,1000,43.8344,43834.4,,2026-05-17T09:50:32.672Z,true,,valid,3.1,36.13,48.87
Xoom,CAD,PKR,1000,195.4484,195448.4,,2026-05-17T09:50:36.199Z,true,,valid,-5.6,175.95,238.05
Xoom,EUR,GHS,1000,13.1514,13151.400000000001,,2026-05-17T09:50:39.791Z,true,,suspect,-22.6,14.45,19.55
Xoom,EUR,INR,1000,110.1797,110179.7,,2026-05-17T09:50:45.604Z,true,,valid,14.2,82.02,110.97
Xoom,EUR,KES,1000,143.4846,143484.6,,2026-05-17T09:50:49.065Z,true,,valid,-2.4,124.95,169.05
Xoom,EUR,MXN,1000,19.6994,19699.4,,2026-05-17T09:50:52.825Z,true,,valid,-10.5,18.7,25.3
Xoom,EUR,NGN,1000,1561.449,1561449,,2026-05-17T09:50:56.558Z,true,,valid,-11.3,1320,2200
Xoom,EUR,PHP,1000,69.7914,69791.4,,2026-05-17T09:51:00.270Z,true,,valid,6.6,55.67,75.32
Xoom,EUR,PKR,1000,316.3405,316340.5,,2026-05-17T09:51:04.005Z,true,,valid,-1.1,272,368
Xoom,GBP,GHS,1000,15.0742,15074.199999999999,,2026-05-17T09:51:07.387Z,true,,suspect,-24.6,17,23
Xoom,GBP,INR,1000,126.5566,126556.6,,2026-05-17T09:51:13.209Z,true,,valid,11.5,96.47,130.52
Xoom,GBP,KES,1000,164.4629,164462.9,,2026-05-17T09:51:16.588Z,true,,valid,-4.4,146.2,197.8
Xoom,GBP,MXN,1000,22.4089,22408.899999999998,,2026-05-17T09:51:20.082Z,true,,valid,-13.1,21.93,29.67
Xoom,GBP,NGN,1000,1796.749,1796749,,2026-05-17T09:51:23.812Z,true,,valid,-12.4,1537.5,2562.5
Xoom,GBP,PHP,1000,79.7072,79707.2,,2026-05-17T09:51:27.411Z,true,,valid,3.8,65.28,88.32
Xoom,GBP,PKR,1000,362.6062,362606.2,,2026-05-17T09:51:31.289Z,true,,valid,-3.3,318.75,431.25
Xoom,USD,GHS,1000,11.3123,11312.300000000001,,2026-05-17T09:51:35.009Z,true,,suspect,-24.6,12.75,17.25
Xoom,USD,INR,1000,95.7209,95720.9,,2026-05-17T09:51:41.572Z,true,,valid,12,72.67,98.32
Xoom,USD,KES,1000,124.3027,124302.7,,2026-05-17T09:51:45.363Z,true,,valid,-4.4,110.5,149.5
Xoom,USD,MXN,1000,17.5724,17572.399999999998,,2026-05-17T09:51:49.026Z,true,,valid,-9.9,16.57,22.42
Xoom,USD,NGN,1000,1348.3539,1348353.9000000001,,2026-05-17T09:51:52.546Z,true,,valid,-13,1162.5,1937.5
Xoom,USD,PHP,1000,59.4342,59434.2,,2026-05-17T09:51:56.285Z,true,,valid,2.5,49.3,66.7
Xoom,USD,PKR,1000,269.3966,269396.6,,2026-05-17T09:51:59.976Z,true,,valid,-4.8,240.55,325.45
